air_temperature,radiant_temperature,relative_humidity,air_velocity,outdoor_temperature,clo_value,met_rate,comfort_label
21.5,22.04,44.0,0.13,13.995833333333334,0.92,1.4334470989761092,too_cold
21.5,22.090909090909086,44.0,0.13,13.995833333333334,0.63,0.9982935153583616,comfortable
21.9,22.31,43.0,0.16,13.995833333333334,0.62,1.3281569965870308,comfortable
21.9,22.3439393939394,43.0,0.16,13.995833333333334,0.75,1.1774744027303754,comfortable
22.3,22.59772727272727,42.0,0.17,13.995833333333334,1.04,1.2372013651877132,comfortable
22.3,22.59772727272727,42.0,0.17,13.995833333333334,1.1799999999999995,1.2061433447098977,comfortable
22.3,22.59772727272727,42.0,0.17,13.995833333333334,0.62,1.164675767918089,comfortable
22.3,22.59772727272727,42.0,0.17,13.995833333333334,0.57,1.4163822525597267,too_cold
22.3,22.59772727272727,42.0,0.17,13.995833333333334,0.71,1.2627986348122866,comfortable
22.2,22.307142857142853,41.0,0.16,13.995833333333334,0.6799999999999999,1.3215017064846413,comfortable
20.9,21.35714285714285,42.0,0.14,13.995833333333334,1.78,0.985494880546075,too_cold
22.2,22.307142857142853,41.0,0.16,13.995833333333334,0.6899999999999998,1.2585324232081911,comfortable
22.0,22.17857142857144,42.0,0.16,13.995833333333334,0.73,1.1092150170648465,comfortable
22.4,22.722857142857144,40.0,0.18,13.995833333333334,0.62,1.2627986348122866,comfortable
22.4,22.722857142857144,40.0,0.18,13.995833333333334,0.4900000000000001,1.1092150170648465,comfortable
22.4,22.722857142857144,40.0,0.18,13.995833333333334,0.7799999999999999,1.1092150170648465,too_warm
22.4,22.722857142857144,40.0,0.18,13.995833333333334,0.41,1.6472696245733789,comfortable
22.4,22.722857142857144,40.0,0.18,13.995833333333334,0.57,1.142320819112628,comfortable
23.3,23.588571428571427,38.0,0.22,13.995833333333334,0.74,1.1988054607508534,comfortable
23.3,23.588571428571427,38.0,0.22,13.995833333333334,1.3,1.2585324232081911,comfortable
20.9,21.35714285714285,42.0,0.14,13.995833333333334,0.7899999999999999,1.164675767918089,comfortable
